country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","02-04-2026 13:00:00",14.675886,77.593027,CO,12,34,26
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","02-04-2026 13:00:00",14.675886,77.593027,OZONE,44,53,48
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","02-04-2026 13:00:00",13.204880,79.097889,PM2.5,34,86,46
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","02-04-2026 13:00:00",16.711754,81.092095,NH3,6,11,8
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","02-04-2026 13:00:00",16.316553,80.413302,PM2.5,42,72,50
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","02-04-2026 13:00:00",16.316553,80.413302,NH3,5,6,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","02-04-2026 13:00:00",14.465052,78.824187,CO,8,14,12
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","02-04-2026 13:00:00",16.186555,81.13219,OZONE,9,43,18
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","02-04-2026 13:00:00","14.438164 ","79.966814 ",CO,10,26,20
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-04-2026 13:00:00",16.9872867,81.7363176,NH3,2,3,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","02-04-2026 13:00:00",13.67,79.35,PM2.5,18,73,35
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","02-04-2026 13:00:00",13.615387,79.409230,NO2,18,33,21
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","02-04-2026 13:00:00",13.615387,79.409230,SO2,7,15,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","02-04-2026 13:00:00",25.560083,87.553265,PM10,29,123,92
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","02-04-2026 13:00:00",26.0881305,87.93840336,PM2.5,40,72,60
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","02-04-2026 13:00:00",26.0881305,87.93840336,OZONE,32,33,33
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","02-04-2026 13:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","02-04-2026 13:00:00",25.376776,86.471523,NO2,4,5,5
India,Bihar,Munger,"Town Hall, Munger - BSPCB","02-04-2026 13:00:00",25.376776,86.471523,SO2,69,121,95
India,Bihar,Munger,"Town Hall, Munger - BSPCB","02-04-2026 13:00:00",25.376776,86.471523,CO,26,32,29
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","02-04-2026 13:00:00",16.486692,80.699436,PM2.5,55,84,65
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","02-04-2026 13:00:00",16.509717,80.612222,PM10,50,71,64
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","02-04-2026 13:00:00",16.509717,80.612222,SO2,11,22,19
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","02-04-2026 13:00:00",16.554731,80.649110,NO2,23,29,25
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","02-04-2026 13:00:00",17.72,83.3,CO,2,66,16
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","02-04-2026 13:00:00",26.1403345,85.3650192,PM2.5,70,107,79
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","02-04-2026 13:00:00",26.1209,85.3647,SO2,4,9,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","02-04-2026 13:00:00",25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","02-04-2026 13:00:00",25.619651,85.147382,NO2,4,11,6
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","02-04-2026 13:00:00",16.5150833,80.5181667,CO,12,22,17
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","02-04-2026 13:00:00",25.859655,85.77944,OZONE,6,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","02-04-2026 13:00:00",24.952822,84.002396,SO2,1,5,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","02-04-2026 13:00:00",24.952822,84.002396,CO,34,70,54
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","02-04-2026 13:00:00",26.2271665,84.3570427,PM2.5,27,87,49
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","02-04-2026 13:00:00",26.2271665,84.3570427,PM10,40,116,69
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","02-04-2026 13:00:00",26.2271665,84.3570427,SO2,6,8,7
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","02-04-2026 13:00:00",30.735567,76.775714,CO,55,101,72
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","02-04-2026 13:00:00",30.735567,76.775714,OZONE,8,99,43
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-04-2026 13:00:00",30.751462,76.762879,NH3,5,12,10
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","02-04-2026 13:00:00",30.719859,76.738637,NH3,15,17,16
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","02-04-2026 13:00:00",30.719859,76.738637,CO,24,79,45
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","02-04-2026 13:00:00","28.493624 ","77.201159 ",SO2,55,61,58
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","02-04-2026 13:00:00","28.493624 ","77.201159 ",OZONE,1,87,42
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","02-04-2026 13:00:00",28.6811736,77.3025234,PM2.5,45,378,189
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","02-04-2026 13:00:00",28.6811736,77.3025234,PM10,99,272,154
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-04-2026 13:00:00",28.628624,77.241060,PM2.5,39,322,185
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-04-2026 13:00:00",28.628624,77.241060,SO2,18,32,25
India,Delhi,Delhi,"JNU, Delhi - DPCC","02-04-2026 13:00:00","28.540721 ","77.168544 ",PM2.5,30,263,136
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","02-04-2026 13:00:00",28.732820,77.170633,PM2.5,30,382,171
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","02-04-2026 13:00:00",28.732820,77.170633,OZONE,8,194,182
